objectid,identifier,filename,youtubeid,vimeoid,title,title-es,creator,date,date-is-approximate,description-eng,description-es,subject-eng,subject-es,location-eng,location-es,latitude,longitude,source,type,format,language,rights-es,rights-eng,rightsstatement
histhea0002,histhea0002,histhea0002.jpg,,,"The Hostos Center for the Arts & Culture and Pepatián world premiere of Familias Merián Soto and Pepón Osorio's new collaboration, Familias ","El Centro Hostos para las artes y cultura y Pepatián premier mundial de ""Familias"", la nueva colaboración de las familias Merián Soto y Pepón Osorio",The Hostos Center for the Arts & Culture,1995-12-10,,"Poster resembling a Time Magazine cover that announces the Hostos Center for the Arts & Culture and Pepatián world premiere of Merián Soto and Pepión Osorio's ""Familias,"" a multi-media performance celebrating familiy life in the South Bronx. The image shows a family sitting around a table.","Póster similar a la portada de la revista Time Magazine anunciando la premier mundial de ""Familias"", la nueva colaboración de las familias Merián Soto y Pepón Osorio, en El Centro Hostos para las artes y cultura. Es una obra multimedia que celebra la vida familiar en el Sur del Bronx. La imagen muestra a una familia sentada alrededor de una mesa.",Hispanic American theater; Advertising fliers; Multimedia (Art),Teatro hispanoamericano; Anuncios de publicidad; Multimedia (Arte),"The Bronx, New York","El Bronx, Nueva York",40.8174412,-73.9272563,"Hispanic Theater Collection, Recovering the US Hispanic Literary Heritage",Poster; StillImage,image/jpeg,eng,Arte Público Press,Arte Público Press,https://artepublicopress.com/permissions/
histhea0003,histhea0003,histhea0003.jpg,,,El Teatro Campesino Celebrating the Next Twenty-Five Years,El Teatro Campesino celebra los próximos veinticinco años,"Montoya, Scott; El Teatro Campesino; Montoya & López Advertising",1990-11-16,,"Full-color commemorative poster announcing El Teatro Campesino's celebration of the next twenty-five years in San Jose, California. Sponsors logos on the poster include Bank of America, Apple, RJ Reynolds Tobacco Company and the Coca Cola company. The image of stylized figures including mariachis, calavera, diablo, a couple embracing and landscape with a stage and ocean in the background.","Póster conmemorativo a color anunciando la celebración de los próximos veinticinco años del Teatro Campesino en San José, California. Los patrocinadores incluídos en el póster son Bank of America, Apple, RJ Reynolds Tobacco Company y Coca Cola. La imagen muestra figuras estilizadas de mariachis, una calavera, un diablo, una pareja abrazándose y el paisaje con un escenario y un océano en el trasfondo.",Hispanic American theater; Teatro Campesino (Organization); Posters,Teatro hispanoamericano; Teatro Campesino (Organización); Pósters,"San Juan Bautista, California","San Juan Bautista, California",36.8456064,-121.5411929,"Hispanic Theater Collection, Recovering the US Hispanic Literary Heritage",Poster; StillImage,image/jpeg,eng,Arte Público Press,Arte Público Press,https://artepublicopress.com/permissions/
histhea0004,histhea0004,histhea0004.jpg,,,The Puerto Rican Traveling Co. Presents Jaime Carrero's Noo Jall (New York),La Puerto Rican Traveling Co. presenta Noo Jall (New York) de Jaime Carrero,Puerto Rican Traveling Co.,1973,,"Poster announcing The Puerto Rican Traveling Company's production of Jaime Carrero's ""Noo Jall"" in New York, directed by Pablo Cabrera and produced by Miriam Colón. The presentation was supported by grants from the New York State Council on the Art, The National Endowment for the Arts and the AVON Products Foundation. The image is of two faces with skyscrapers in the background.","Póster anunciando la producción de ""Noo Jaill"" de Jaime Carrero en Nueva York para la compañía Puerto Rican Traveling Co. La obra es dirigida por Pablo Cabrera y producida por Miriam Colón. La presentación es patrocinada por becas del New York State Council on the Art, The National Endowment for the Arts y la Fundación AVON Products.  La imagen muestra dos caras rostros con rascacielos en el trasfondo.",Hispanic American theater; Advertising fliers; Posters; Puerto Rican Traveling Theater (Organization); Pablo Cabrera; Miriam Colón,Teatro hispanoamericano; Anuncios de publicidad; Pósters; Puerto Rican Traveling Theater (Organización); Pablo Cabrera; Miriam Colón,"New York, New York","Nueva York, Nueva York",40.7604359,-73.9881222,"Hispanic Theater Collection, Recovering the US Hispanic Literary Heritage",Flyer; StillImage,image/jpeg,eng,Arte Público Press,Arte Público Press,https://artepublicopress.com/permissions/
histhea0005,histhea0005,histhea0005.jpg,,,"""Roosters"" a play by Milcha Sánchez-Scott presented by the Latino Chicago Theater Company","""Roosters"", una obra de Milcha Sánchez-Scott presentada por el Latino Chicago Theater Company",Latino Chicago Theater Company,1989-03-02,,"Poster announcing the Latino Chicago Theater Company's production of the play ""Roosters"" by Milcha Sánchez-Scott at The Firehouse. The presentation was supported in part by grants from Illinois Art Council, MacArthur, and The National Endowment for the Arts. Major funding was provided by the Joyce Foundation. The image is of a rooster with a royal blue background.","Póster announciando la producción de la obra ""Roosters"" por Milcha Sánchez-Scott en el  Firehouse por la compañía Latino Chicago Theater Company. La presentación fue patrocinada por becas del Illinois Art Council, MacArthur y The National Endowment for the Arts. Gran parte del patrocinio fue de la Fundación Joyce. La imagen muestra un gallo contra un trasfondo azul rey.",Hispanic American theater; Latino Chicago Theater (Organization); Posters; Milcha Sánchez-Scott; Playwrights,Teatro hispanoamericano; Latino Chicago Theater (Organización); Pósters; Milcha Sánchez-Scott; Dramaturgos,"Chicago, Illinois","Chicago, Illinois",41.911259,-87.677287,"Hispanic Theater Collection, Recovering the US Hispanic Literary Heritage",Poster; StillImage,image/jpeg,eng,Arte Público Press,Arte Público Press,https://artepublicopress.com/permissions/
histhea0007,histhea0007,histhea0007.jpg,,,All that Drama' 2nd Annual South Bronx Theatre Festival,All that Drama' 2ndo festival anual del Teatro South Bronx,"Tats Cru, Inc.",1999-10-04,,"Poster advertising the 2nd Annual South Bronx Theatre's Theatre Festival, including the premiere of ""Tiers"" by Reg.e.gaines, a performance by Sarah Jones, new work by Danny Hoch, and works by Pregones Theatre, A.B. Lugo, Caridad de la Luz, Mariposa, Tita, Michael Schwarts, N'Goma Hill, José Torres Toma, Liza Jessie Peterson, Nuyorican Rule, and Upstage (Point Youth Theatre Troupe). Funding for the event was provided by The Rockefeller Foundation. The image is of theater masks, skull and a script.","Póster anunciando el 2ndo festival anual del Teatro South Bronx, que incluye la premier de ""Tiers"" por Reg.e.gaines, un performance de Sarah Jones, una obra nueva de Danny Hoch y obras de Pregones Theatre, A.B. Lugo, Caridad de la Luz, Mariposa, Tita, Michael Schwarts, N'Goma Hill, José Torres Toma, Liza Jessie Peterson, Nuyorican Rule y Upstage (Point Youth Theatre Troupe). Los patrocinadores del evento incluyen a la Fundación Rockefeller. La imagen muestra máscaras teatrales, una calavera y un guión.",Hispanic American theater; Posters; Drama festivals; Pregones Theatre (Organization); A.B. Lugo; Caridad de la Luz; Mariposa; Michael Schwarts; N'Goma Hill; José Torres Toma; Liza Jessie Peterson; Nuyorican Rule; Upstage (Point Youth Theatre Troupe); Playwrights; Actors; Actresses,Teatro hispanoamericano; Pósters; Festivales de teatro; Pregones Theatre (Organización); A.B. Lugo; Caridad de la Luz; Mariposa; Michael Schwarts; N'Goma Hill; José Torres Toma; Liza Jessie Peterson; Nuyorican Rule; Upstage (Point Youth Theatre Troupe); Dramaturgos; Actores; Actrices,"The Bronx, New York","El Bronx, Nueva York",40.8181805,-73.8901672,"Hispanic Theater Collection, Recovering the US Hispanic Literary Heritage",Poster; StillImage,image/jpeg,eng,Arte Público Press,Arte Público Press,https://artepublicopress.com/permissions/
histhea0008,histhea0008,histhea0008.jpg,,,"The Bronx Arts Ensemble and The Hostos Center for the Arts & Culture celebrate Puerto Rican Heritage Month with Los Jíbaros, a fully staged opera criolla in two scenes","El Bronx Arts Ensemble y el Centro Hostos para las artes y cultura celebran el mes de la herencia puertorriqueña con Los Jíbaros, una ópera criolla con dos escenas","Meléndez, Luis Felipe",2000-11-10,,"Poster advertising the Bronx Arts Ensemble and The Hostos Center for the Arts & Culture celebration of Puerto Rican Heritage Month with the presentation of ""Los Jíbaros,"" a fully staged opera composed by Manuel B. González. Poster also credits: William Scribner (The Bronx Art Ensemble Orchestra's executive/artistic director), Jan Józef Wnek  (Conductor) and Pablo Cabrera (Director). The opera starred Evangelina Cólon, Hilda Ramos, Edgardo Zayas, Valentín Fernández, Carlos Conde and the Hostos Community College Chorus. The image shows a man playing a cuatro (guitar) in a field.","Póster anunciando la celebración del mes de la herencia puertorriqueña en el Bronx Arts Ensemble y el Centro Hostos para las artes y cultura con la presentación de ""Los Jíbaros"", una ópera escenificada compuesta por Manuel B. González. El póster reconoce a: William Scribner (director artístico/ejecutivo de la Orquesta del Bronx Art Ensemble), Jan Józef Wnek (conductor) y Pablo Cabrera (director). La ópera fue protagonizada por Evangelina Cólon, Hilda Ramos, Edgardo Zayas, Valentín Fernández, Carlos Conde y el coro del Hostos Community College. La imagen muestra a un hombre tocando el cuatro en un campo.",Hispanic American theater; Posters; Opera; Jíbaro (Puerto Rican identity); Manuel B. González; William Scribner; The Bronx Art Ensemble Orchestra (Organization); Jan Józef Wnek; Pablo Cabrera; Evangelina Cólon; Hilda Ramos; Edgardo Zayas; Valentín Fernández; Carlos Conde; Hostos Community College Chorus; Luis Felipe Meléndez,Teatro hispanoamericano; Pósters; Ópera; Jíbaro  (identidad puertorriqueña); Manuel B. González; William Scribner; The Bronx Art Ensemble Orchestra (Organización); Jan Józef Wnek; Pablo Cabrera; Evangelina Cólon; Hilda Ramos; Edgardo Zayas; Valentín Fernández; Carlos Conde; Hostos Community College Chorus; Luis Felipe Meléndez,"The Bronx, New York","El Bronx, Nueva York",40.8174412,-73.9272563,"Hispanic Theater Collection, Recovering the US Hispanic Literary Heritage",Poster; StillImage,image/jpeg,eng,Arte Público Press,Arte Público Press,https://artepublicopress.com/permissions/
histhea0009,histhea0009,histhea0009.jpg,,,"Teatro Bilingüe de Houston presents ""Los Soles Truncos"" by René Marques ","El Teatro Bilingüe de Houston presenta ""Los Soles Truncos"" por René Marques ","Saenz, Alejandro",1978-01-13,,"Color poster advertising El Teatro Bilingüe de Houston's presentation of René Marques' ""Los Soles Truncos."" The image shows the silhouette of a woman running toward a door. ","Póster a color anunciando la presentación de ""Los Soles Truncos"" de René Marques en El Teatro Bilingüe de Houston. La imagen muestra la silueta de una mujer corriendo hacia una puerta.",Hispanic American theater; Posters; René Marques; Dramaturgos; El Teatro Bilingue de Houston (Organization),Teatro hispanoamericano; Póster; René Marques; Dramaturgos; El Teatro Bilingüe de Houston (Organización),"Houston, Texas",,29.7505023,-95.3295647,"Hispanic Theater Collection, Recovering the US Hispanic Literary Heritage",Poster; StillImage,image/jpeg,es,Arte Público Press,Arte Público Press,https://artepublicopress.com/permissions/
histhea0012,histhea0012,histhea0012.jpg,,,"La Familia, Inc. presents ""The Marriage Proposal: A Calypso Latin Musical Comedy""","La Familia, Inc. presenta ""The Marriage Proposal: A Calypso Latin Musical Comedy""","La Familia, Inc. ",1981-03-27,,"Green and white poster for La Familia's production of ""The Marriage Proposal: A Calypso Latin Musical Comedy"" by Anton Chekov, adapted and directed by Marvin Felix Camillo, and performed in Symphony Space Theater. The poster includes review lines from Soho News, NY Times and Amsterdam News. The image shows plants and two face silhouttes in the margins. ","Póster en verde y blanco de la producción de ""The Marriage Proposal: A Calypso Latin Musical Comedy"" de Anton Chekov, adaptada y dirigida por Marvin Felix Camillo para La Familia, Inc. La producción se llevó acabo en Symphony Space Theater. El póster incluye reseñas de Soho News, NY Times y Amsterdam News. La imagen muestra plantas y silueta de dos rostros en los márgenes. ",Hispanic American theater; Posters; Musical theater; Anton Chekov; Marvin Felix Camillo; Raymond Ruiz; Sandy Esteves; Michelle Mais; Milly Morales; Alberto Martinez; Hector Mercado; Jose Serpa; Eric Matos; Diego Vallego; Victor Verdejo; Symphony Space Theatre,Teatro hispanoamericano; Pósters; Teatro musical; Anton Chekov; Marvin Felix Camillo; Raymond Ruiz; Sandy Esteves; Michelle Mais; Milly Morales; Alberto Martinez; Hector Mercado; Jose Serpa; Eric Matos; Diego Vallego; Victor Verdejo; Symphony Space Theatre,"New York, New York","Nueva York, Nueva York",40.7939602,-73.9726202,"Hispanic Theater Collection, Recovering the US Hispanic Literary Heritage",Poster; StillImage,image/jpeg,eng,Arte Público Press,Arte Público Press,https://artepublicopress.com/permissions/
histhea0013,histhea0013,histhea0013.jpg,,,"Youth and Culture Entertainment by El Grupo presents Cuchifrito Apple Pie & Salsa, ""the cultural conflict,"" with David Díaz ","El Grupo presenta ""Cuchifrito Apple Pie & Salsa"" el conflicto cultural con David Díaz para el entretenimiento juvenil y cultural",El Grupo,1975-12-11,yes,"Purple, black and yellow poster for Youth and Culture Entertainment presentation of the one-hour special, Cuchifrito Apple Pie & Salsa, ""the cultural conflict,"" with host David Díaz on channel 13 WNET. Producer Lou Delemos, Associate producer, Edgardo Moncaleano, Executive producer, Humberto Cintron and Director, Pablo Cabrera. The image shows a television set.","Póster en morado, negro y amarrillo para la presentación de una hora de entretenimiento juvenil y cultural de ""Cuchifrito Apple Pie & Salsa"", el conflicto cultural con David Díaz en el canal 13 WNET. El productor Lou Delemos, productor asociado Edgardo Moncaleano, productor ejecutivo, Humberto Cintron y director, Pablo Cabrera. La imagen muestra un televisor.",Television show; Youth and Culture Entertainment; David Díaz; Channel 13 WNET; Lou Delemos; Edgardo Moncaleano; Humberto Cintron; Pablo Cabrera; Host (television),Show de televisión; Entretenimiento juvenil y cultural; David Díaz; canal 13 WNET; Lou Delemos; Edgardo Moncaleano; Humberto Cintron; Pablo Cabrera; Anfritrión (televisión),,,,,"Hispanic Theater Collection, Recovering the US Hispanic Literary Heritage",Poster; StillImage,image/jpeg,eng,Arte Público Press,Arte Público Press,https://artepublicopress.com/permissions/
histhea0014,histhea0014,histhea0014.jpg,,,El Séptimo Festival de los Teatros de Tenaz: Uniting El Pueblo through Common Struggle,El Séptimo Festival de los Teatros de Tenaz: Uniendo al pueblo a través de la lucha común,Los Teatros de Tenaz,1976,,Black and white flyer advertising the seventh festival of Los Teatros de Tenaz.  The image shows people standing under a tree and a street with buildings. The street pictured honors a part of town that was knocked down for urban renewal.,El volante en blanco y negro promueve el séptimo festival de Los Teatros de Tenaz. La imagen muestra a personas paradas debajo de un arbol y una calle con edificios. La calle en el volante honra a una parte de la ciudad que fue destruida por la renevación urbana.,Hispanic American theater; Posters; Drama festivals; Los Teatros Tenaz (Organization),Teatro hispanoamericano; Pósters; Festivales de teatro; Los Teatros Tenaz (Organización),"Denver, Colorado","Denver, Colorado",39.7392358,-104.990251,"Hispanic Theater Collection, Recovering the US Hispanic Literary Heritage",Poster; StillImage,image/jpeg,eng;es,Arte Público Press,Arte Público Press,https://artepublicopress.com/permissions/
